region,timestamp,temperature_c,precipitation_mm,humidity_pct,co2_ppm
Lahore,2023-01-14T00:00:00Z,26.71,0,64.44,437.0
Islamabad,2023-01-14T02:00:00Z,30.01,8.54,67.67,408.3
Quetta,2023-01-14T04:00:00Z,27.92,11.12,58.9,426.47
Peshawar,2023-01-14T06:00:00Z,41.11,4.44,72.51,388.87
Karachi,2023-01-14T08:00:00Z,33.6,7.94,61.62,428.24
Lahore,2023-01-14T10:00:00Z,30.58,2.88,50.74,417.25
Islamabad,2023-01-14T12:00:00Z,34.14,11.35,62.59,418.11
Quetta,2023-01-14T14:00:00Z,22.53,7.74,81.12,439.23
Peshawar,2023-01-14T16:00:00Z,34.61,5.03,71.48,409.69
Karachi,2023-01-14T18:00:00Z,21.92,0,71.67,394.37
Lahore,2023-01-14T20:00:00Z,36.75,0,66.59,392.57
Islamabad,2023-01-14T22:00:00Z,32.53,0.68,44.2,395.51
Quetta,2023-01-15T00:00:00Z,22.73,2.77,51.62,399.75
Peshawar,2023-01-15T02:00:00Z,16.37,9.09,34.77,432.48
Karachi,2023-01-15T04:00:00Z,39.53,0.79,44.14,403.22
Lahore,2023-01-15T06:00:00Z,39.44,1.8,80.07,398.01
Islamabad,2023-01-15T08:00:00Z,39.19,0,39.47,405.38
Quetta,2023-01-15T10:00:00Z,23.38,5.65,89.74,414.45
Peshawar,2023-01-15T12:00:00Z,31.26,4.5,43.98,417.55
Karachi,2023-01-15T14:00:00Z,10.17,1.74,83.79,396.03
Lahore,2023-01-15T16:00:00Z,26.42,2.42,43.05,404.61
Islamabad,2023-01-15T18:00:00Z,31.79,0,81.65,412.51
Quetta,2023-01-15T20:00:00Z,37.17,5.31,70.77,416.47
Peshawar,2023-01-15T22:00:00Z,23.29,7.36,52.35,438.1
Karachi,2023-01-16T00:00:00Z,33.6,0,88.39,410.58
Lahore,2023-01-16T02:00:00Z,36.92,0,50.43,426.68
Islamabad,2023-01-16T04:00:00Z,23.55,0,73.41,403.77
Quetta,2023-01-16T06:00:00Z,22.34,9.05,72.4,410.7
Peshawar,2023-01-16T08:00:00Z,39.41,3.75,68.5,412.29
Karachi,2023-01-16T10:00:00Z,22.66,0,74.54,410.41
Lahore,2023-01-16T12:00:00Z,32.94,0,38.23,409.81
Islamabad,2023-01-16T14:00:00Z,33.06,3.49,67.19,417.85
Quetta,2023-01-16T16:00:00Z,22.24,0,51.29,408.05
Peshawar,2023-01-16T18:00:00Z,32.29,6.77,60.41,389.13
Karachi,2023-01-16T20:00:00Z,26.67,3.04,63.71,413.67
Lahore,2023-01-16T22:00:00Z,27.23,0,50.3,411.57
Islamabad,2023-01-17T00:00:00Z,37.31,0,64.7,400.08
Quetta,2023-01-17T02:00:00Z,27.45,7.11,44.73,414.72
Peshawar,2023-01-17T04:00:00Z,16.73,1.38,51.97,408.05
Karachi,2023-01-17T06:00:00Z,20.74,4.89,46.7,401.08
Lahore,2023-01-17T08:00:00Z,33.82,7.43,38.83,398.85
Islamabad,2023-01-17T10:00:00Z,20.39,0.49,77.16,383.05
Quetta,2023-01-17T12:00:00Z,30.99,0,89.39,406.96
Peshawar,2023-01-17T14:00:00Z,24.91,4.99,37.73,426.47
Karachi,2023-01-17T16:00:00Z,13.81,0,61.93,422.79
Lahore,2023-01-17T18:00:00Z,15.82,2.98,68.48,412.19
Islamabad,2023-01-17T20:00:00Z,32.75,10.94,70.65,424.78
Quetta,2023-01-17T22:00:00Z,33.48,0,41.83,419.52
Peshawar,2023-01-18T00:00:00Z,38.23,7.28,73.93,426.22
Karachi,2023-01-18T02:00:00Z,19.86,0,40.58,399.78
Lahore,2023-01-18T04:00:00Z,19.27,8.31,79.76,410.35
Islamabad,2023-01-18T06:00:00Z,35.04,6.36,51.51,428.28
Quetta,2023-01-18T08:00:00Z,22.61,9.1,54.58,433.47
Peshawar,2023-01-18T10:00:00Z,38.37,6.57,47.11,418.08
Karachi,2023-01-18T12:00:00Z,29.41,1.9,73.83,408.62
Lahore,2023-01-18T14:00:00Z,26.57,2.85,37.63,397.44
Islamabad,2023-01-18T16:00:00Z,26.88,0.24,82.39,400.89
Quetta,2023-01-18T18:00:00Z,36.91,2.66,64.44,398.84
Peshawar,2023-01-18T20:00:00Z,38.13,4.9,43.72,388.66
Karachi,2023-01-18T22:00:00Z,15.66,1.07,45.23,396.71
Lahore,2023-01-19T00:00:00Z,26.16,0,74.48,401.35
Islamabad,2023-01-19T02:00:00Z,25.91,4.07,73.43,405.34
Quetta,2023-01-19T04:00:00Z,43.67,4.69,84.36,399.15
Peshawar,2023-01-19T06:00:00Z,28.79,4.36,46.38,396.72
Karachi,2023-01-19T08:00:00Z,36.07,1.97,40.28,403.9
Lahore,2023-01-19T10:00:00Z,32.68,9.74,46.78,396.75
Islamabad,2023-01-19T12:00:00Z,19.03,0,47.4,420.4
Quetta,2023-01-19T14:00:00Z,24.63,3.56,77.97,400.82
Peshawar,2023-01-19T16:00:00Z,19.64,0,39.21,385.7
Karachi,2023-01-19T18:00:00Z,30.3,9.8,53.49,444.95
Lahore,2023-01-19T20:00:00Z,33.7,0,40.64,420.11
Islamabad,2023-01-19T22:00:00Z,33.84,1.45,77.39,412.85
Quetta,2023-01-20T00:00:00Z,36.72,5.3,32.64,425.15
Peshawar,2023-01-20T02:00:00Z,28.06,12.46,37.58,368.86
Karachi,2023-01-20T04:00:00Z,37.67,8.16,32.14,397.91
Lahore,2023-01-20T06:00:00Z,29.64,4.2,61.96,398.85
Islamabad,2023-01-20T08:00:00Z,29.99,2.78,74.98,393.87
Quetta,2023-01-20T10:00:00Z,27.1,0,63.83,387.12
Peshawar,2023-01-20T12:00:00Z,24.03,5.02,44.22,418.42
Karachi,2023-01-20T14:00:00Z,16.75,0.52,43.0,378.06
Lahore,2023-01-20T16:00:00Z,3.37,4.95,33.48,416.91
Islamabad,2023-01-20T18:00:00Z,18.45,6.32,84.55,425.51
Quetta,2023-01-20T20:00:00Z,31.22,0,61.67,407.39
Peshawar,2023-01-20T22:00:00Z,24.48,0,80.23,395.9
Karachi,2023-01-21T00:00:00Z,29.77,3.49,64.63,421.27
Lahore,2023-01-21T02:00:00Z,28.23,0,72.06,419.27
Islamabad,2023-01-21T04:00:00Z,29.67,6.14,66.9,410.0
Quetta,2023-01-21T06:00:00Z,28.19,7.18,68.74,402.39
Peshawar,2023-01-21T08:00:00Z,32.1,10.24,70.18,403.25
Karachi,2023-01-21T10:00:00Z,42.38,2.22,66.07,389.57
Lahore,2023-01-21T12:00:00Z,25.41,0,32.25,425.16
Islamabad,2023-01-21T14:00:00Z,13.54,8.48,83.77,411.1
Quetta,2023-01-21T16:00:00Z,26.69,0.98,77.64,403.05
Peshawar,2023-01-21T18:00:00Z,26.05,8.96,56.75,393.43
Karachi,2023-01-21T20:00:00Z,17.61,2.52,32.9,399.84
Lahore,2023-01-21T22:00:00Z,29.96,4.6,68.26,413.0
Islamabad,2023-01-22T00:00:00Z,15.14,0,68.79,392.92
Quetta,2023-01-22T02:00:00Z,23.82,0,46.0,399.15
Peshawar,2023-01-22T04:00:00Z,26.26,1.85,41.39,411.53
Karachi,2023-01-22T06:00:00Z,25.02,0.9,46.22,436.81
Lahore,2023-01-22T08:00:00Z,20.15,1.05,59.17,407.54
Islamabad,2023-01-22T10:00:00Z,28.29,4.22,67.46,424.26
Quetta,2023-01-22T12:00:00Z,30.14,0,71.36,403.89
Peshawar,2023-01-22T14:00:00Z,23.54,5.45,68.25,430.21
Karachi,2023-01-22T16:00:00Z,19.51,0,58.61,418.23
Lahore,2023-01-22T18:00:00Z,25.18,1.12,67.82,405.11
Islamabad,2023-01-22T20:00:00Z,47.74,0,88.37,382.02
Quetta,2023-01-22T22:00:00Z,37.31,0.46,66.11,391.72
Peshawar,2023-01-23T00:00:00Z,26.22,0,72.81,403.69
Karachi,2023-01-23T02:00:00Z,27.3,2.17,52.35,409.69
Lahore,2023-01-23T04:00:00Z,15.68,8.57,82.38,414.13
Islamabad,2023-01-23T06:00:00Z,27.89,7.06,45.43,416.09
Quetta,2023-01-23T08:00:00Z,27.44,0.58,45.79,396.42
Peshawar,2023-01-23T10:00:00Z,21.45,2.78,87.1,413.83
Karachi,2023-01-23T12:00:00Z,29.63,1.57,65.34,391.64
Lahore,2023-01-23T14:00:00Z,29.6,2.98,68.81,399.28
Islamabad,2023-01-23T16:00:00Z,45.13,3.27,33.92,412.9
Quetta,2023-01-23T18:00:00Z,29.79,3.73,84.7,415.4
Peshawar,2023-01-23T20:00:00Z,33.12,1.8,36.07,403.86
Karachi,2023-01-23T22:00:00Z,13.26,0.91,86.35,413.29
Lahore,2023-01-24T00:00:00Z,30.36,0,74.85,404.67
Islamabad,2023-01-24T02:00:00Z,21.55,0,81.8,436.73
Quetta,2023-01-24T04:00:00Z,31.34,5.49,61.8,401.82
Peshawar,2023-01-24T06:00:00Z,26.56,7.15,72.36,412.6
Karachi,2023-01-24T08:00:00Z,28.28,0,55.11,414.8
Lahore,2023-01-24T10:00:00Z,34.63,11.33,53.69,392.59
Islamabad,2023-01-24T12:00:00Z,24.1,12.67,47.24,382.54
Quetta,2023-01-24T14:00:00Z,33.25,5.86,58.75,407.83
Peshawar,2023-01-24T16:00:00Z,25.28,5.77,33.79,416.57
Karachi,2023-01-24T18:00:00Z,26.91,0.81,69.45,396.58
Lahore,2023-01-24T20:00:00Z,21.67,4.2,56.09,424.91
Islamabad,2023-01-24T22:00:00Z,33.55,5.42,83.15,413.8
Quetta,2023-01-25T00:00:00Z,35.61,3.31,78.69,391.1
Peshawar,2023-01-25T02:00:00Z,29.39,5.81,69.56,394.4
Karachi,2023-01-25T04:00:00Z,21.49,4.36,69.68,373.63
Lahore,2023-01-25T06:00:00Z,25.31,2.63,45.0,384.68
Islamabad,2023-01-25T08:00:00Z,33.36,6.72,69.66,401.75
Quetta,2023-01-25T10:00:00Z,28.91,2.08,53.97,408.38
Peshawar,2023-01-25T12:00:00Z,11.76,0,38.5,391.34
Karachi,2023-01-25T14:00:00Z,44.2,0,81.34,412.59
Lahore,2023-01-25T16:00:00Z,15.22,2.45,36.78,410.13
Islamabad,2023-01-25T18:00:00Z,21.03,5.48,58.55,410.9
Quetta,2023-01-25T20:00:00Z,24.3,3.04,40.46,409.74
Peshawar,2023-01-25T22:00:00Z,29.09,2.07,48.03,429.58
Karachi,2023-01-26T00:00:00Z,31.34,4.3,73.55,400.72
Lahore,2023-01-26T02:00:00Z,10.41,1.34,74.44,406.49
Islamabad,2023-01-26T04:00:00Z,23.51,5.69,46.58,401.68
Quetta,2023-01-26T06:00:00Z,23.88,8.96,78.16,398.25
Peshawar,2023-01-26T08:00:00Z,27.42,8.27,75.51,416.79
Karachi,2023-01-26T10:00:00Z,40.21,8.44,56.37,411.11
Lahore,2023-01-26T12:00:00Z,29.43,0,72.01,398.96
Islamabad,2023-01-26T14:00:00Z,33.83,3.05,39.23,421.96
Quetta,2023-01-26T16:00:00Z,30.87,8.43,50.63,423.6
Peshawar,2023-01-26T18:00:00Z,44.66,0,78.54,405.15
Karachi,2023-01-26T20:00:00Z,32.0,1.98,49.03,404.24
Lahore,2023-01-26T22:00:00Z,22.86,6.74,54.57,402.41
Islamabad,2023-01-27T00:00:00Z,22.55,0,66.98,416.88
Quetta,2023-01-27T02:00:00Z,23.28,0,37.48,418.9
Peshawar,2023-01-27T04:00:00Z,20.4,7.12,53.38,409.36
Karachi,2023-01-27T06:00:00Z,28.97,3.84,45.36,418.76
Lahore,2023-01-27T08:00:00Z,32.12,6.67,54.02,407.59
Islamabad,2023-01-27T10:00:00Z,24.99,8.38,61.21,389.46
Quetta,2023-01-27T12:00:00Z,30.6,1.69,51.64,391.87
Peshawar,2023-01-27T14:00:00Z,24.2,0,33.64,387.77
Karachi,2023-01-27T16:00:00Z,23.82,0,44.45,399.75
Lahore,2023-01-27T18:00:00Z,27.19,5.25,65.39,411.64
Islamabad,2023-01-27T20:00:00Z,30.8,0,75.88,419.78
Quetta,2023-01-27T22:00:00Z,42.26,0,47.75,422.0
Peshawar,2023-01-28T00:00:00Z,26.91,2.26,36.84,401.92
Karachi,2023-01-28T02:00:00Z,44.15,2.29,40.41,417.13
Lahore,2023-01-28T04:00:00Z,15.33,4.17,70.04,426.99
Islamabad,2023-01-28T06:00:00Z,12.49,3.31,60.07,411.25
Quetta,2023-01-28T08:00:00Z,27.94,0,75.8,415.98
Peshawar,2023-01-28T10:00:00Z,11.75,5.45,75.82,392.44
Karachi,2023-01-28T12:00:00Z,20.87,7.47,38.31,422.04
Lahore,2023-01-28T14:00:00Z,21.26,0,32.83,388.25
Islamabad,2023-01-28T16:00:00Z,18.63,0,51.67,410.53
Quetta,2023-01-28T18:00:00Z,14.72,0,44.18,403.02
Peshawar,2023-01-28T20:00:00Z,28.59,0,49.65,406.39
Karachi,2023-01-28T22:00:00Z,26.36,2.61,85.44,393.71
Lahore,2023-01-29T00:00:00Z,19.83,5.0,44.35,404.36
Islamabad,2023-01-29T02:00:00Z,24.62,3.77,57.77,421.18
Quetta,2023-01-29T04:00:00Z,29.66,0.87,32.28,415.68
Peshawar,2023-01-29T06:00:00Z,35.68,15.19,81.61,441.02
Karachi,2023-01-29T08:00:00Z,26.68,11.99,78.97,422.01
Lahore,2023-01-29T10:00:00Z,32.89,0,58.52,426.86
Islamabad,2023-01-29T12:00:00Z,34.26,0,45.45,398.68
Quetta,2023-01-29T14:00:00Z,40.54,1.32,44.85,417.29
Peshawar,2023-01-29T16:00:00Z,34.39,0.75,74.97,424.68
Karachi,2023-01-29T18:00:00Z,34.26,4.35,62.4,413.79
Lahore,2023-01-29T20:00:00Z,24.23,0,88.56,433.57
Islamabad,2023-01-29T22:00:00Z,21.42,0,57.15,413.71
Quetta,2023-01-30T00:00:00Z,28.89,4.98,54.54,376.16
Peshawar,2023-01-30T02:00:00Z,15.04,4.46,41.97,397.47
Karachi,2023-01-30T04:00:00Z,28.36,2.65,59.27,388.37
Lahore,2023-01-30T06:00:00Z,31.12,4.12,64.9,422.15
Islamabad,2023-01-30T08:00:00Z,26.01,3.45,36.34,397.37
Quetta,2023-01-30T10:00:00Z,27.42,7.39,85.58,418.38
Peshawar,2023-01-30T12:00:00Z,26.56,0.32,35.9,414.05
Karachi,2023-01-30T14:00:00Z,24.36,5.4,30.87,415.18
Lahore,2023-01-30T16:00:00Z,27.14,6.25,77.33,438.16
Islamabad,2023-01-30T18:00:00Z,11.45,12.45,61.2,416.01
Quetta,2023-01-30T20:00:00Z,26.14,0,89.81,409.88
Peshawar,2023-01-30T22:00:00Z,23.87,3.75,86.03,403.84
Karachi,2023-01-31T00:00:00Z,18.47,4.68,53.54,433.17
Lahore,2023-01-31T02:00:00Z,31.58,0.57,37.47,427.62
Islamabad,2023-01-31T04:00:00Z,22.34,8.8,64.88,424.13
Quetta,2023-01-31T06:00:00Z,39.44,3.39,78.92,407.46
Peshawar,2023-01-31T08:00:00Z,23.33,5.44,42.06,400.28
Karachi,2023-01-31T10:00:00Z,42.56,0,69.05,409.35
Lahore,2023-01-31T12:00:00Z,28.63,6.6,75.73,408.11
Islamabad,2023-01-31T14:00:00Z,38.88,7.06,78.39,392.46
Quetta,2023-01-31T16:00:00Z,33.55,7.69,81.24,431.85
Peshawar,2023-01-31T18:00:00Z,17.64,0,34.9,395.31
Karachi,2023-01-31T20:00:00Z,24.46,1.68,50.76,405.24
Lahore,2023-01-31T22:00:00Z,29.66,1.71,40.75,385.42
Islamabad,2023-02-01T00:00:00Z,25.18,11.59,36.02,385.11
Quetta,2023-02-01T02:00:00Z,32.82,3.74,34.3,391.91
Peshawar,2023-02-01T04:00:00Z,31.7,4.23,30.23,398.91
Karachi,2023-02-01T06:00:00Z,29.89,3.22,34.14,431.13
Lahore,2023-02-01T08:00:00Z,33.19,2.74,50.18,443.73
Islamabad,2023-02-01T10:00:00Z,18.93,6.01,37.71,402.63
Quetta,2023-02-01T12:00:00Z,26.91,6.13,34.73,400.57
Peshawar,2023-02-01T14:00:00Z,21.26,0.29,65.23,430.29
Karachi,2023-02-01T16:00:00Z,35.46,0,50.62,417.93
Lahore,2023-02-01T18:00:00Z,29.91,0,58.04,450.75
Islamabad,2023-02-01T20:00:00Z,33.81,5.59,63.84,394.62
Quetta,2023-02-01T22:00:00Z,35.03,2.83,31.55,375.45
Peshawar,2023-02-02T00:00:00Z,36.11,6.39,53.07,441.42
Karachi,2023-02-02T02:00:00Z,38.69,2.71,57.48,388.86
Lahore,2023-02-02T04:00:00Z,28.6,0,48.1,423.5
Islamabad,2023-02-02T06:00:00Z,42.75,4.63,77.48,453.28
